categorie,naam,beschrijving,prijs_eur,opties_keuze,opties_saus,supplementen_extra
Hamburgers,Black Pepper Burger,"Angus burger, peperbun, pepersaus, sla, tomaat, rode ui",7,Met gebakken ajuin / Zonder gebakken ajuin | Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Hamburgers,Jalapeno Burger,"sesambun, jalapenoburger, sla, tomaat, cheese, jalapeno's, jalapenomayo",6.5,Met gebakken ajuin / Zonder gebakken ajuin | Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Hamburgers,Jalapenoburger,"Sesambun, sla, tomaat, augurk, Jalapenoburger, cheddar, jalapeno's, jalapenomayo",6.5,Met gebakken ajuin / Zonder gebakken ajuin | Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Bickyburger,Bickyburger,,4.5,Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Bacon +€1.00 / Smos +€1.00 / Snipperui +€0.30 / Sla +€0.30 / Tomaat +€0.30
Bickyburger,Bicky Mexicano,,6.5,Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Bacon +€1.00 / Smos +€1.00 / Snipperui +€0.30 / Sla +€0.30 / Tomaat +€0.30
Bickyburger,Bicky Chicken,,5.5,Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Bacon +€1.00 / Smos +€1.00 / Snipperui +€0.30 / Sla +€0.30 / Tomaat +€0.30
Bickyburger,Bicky Fish,,5.5,Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Bacon +€1.00 / Smos +€1.00 / Snipperui +€0.30 / Sla +€0.30 / Tomaat +€0.30
Classic burgers,Hamburger Classic,"sla, tomaat, augurk, cheese, spek",6,Met gebakken ajuin / Zonder gebakken ajuin | Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Classic burgers,Chicken Crispy Classic,"sla, tomaat, augurk, cheese, spek",6.5,Met gebakken ajuin / Zonder gebakken ajuin | Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Classic burgers,Mexicano Classic,"sla, tomaat, augurk, cheese, spek",8,Met gebakken ajuin / Zonder gebakken ajuin | Pistolet (gratis) / Baguette (+€2.00),Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
Warme Broodjes,Mexicano,,6,,Geen saus / Américain / Andalouse / Barbecue / Brazil / Cocktail / Curry / Curryketchup / Joppie / Look / Mammouth / Mammouth hot / Mayo / Mosterd / Peper / Pili pili / Samuray / Saus dubbel (+€2) / Spéciaalsaus (+€2) / Tartaar / Tomatenketchup / Truffelmayo / Zoete Mayo / Zoetzuur pikant,Cheese +€0.70 / Cheese Bacon +€1.50 / Smos +€1.00 / Spéciaalsaus Tomaatketchup +€1.00 / Spéciaalsaus Curryketchup +€1.00 / Bacon +€1.00 / Snipperui +€0.30 / Gedroogde ui +€0.30 / Augurk +€0.30 / Sla +€0.30 / Tomaat +€0.30
